date,total_trades,total_volume_usd,avg_execution_price,median_fee,unique_accounts,avg_closed_pnl,win_rate,value,classification,sentiment_group
2023-05-01,3.0,477.0,1898.1333333333332,0.0,1.0,0.0,0.0,63.0,Greed,Greed
2023-05-02,,,,,,,,63.0,Greed,Greed
2023-05-03,,,,,,,,63.0,Greed,Greed
2023-05-04,,,,,,,,63.0,Greed,Greed
2023-05-05,,,,,,,,63.0,Greed,Greed
2023-05-06,,,,,,,,63.0,Greed,Greed
2023-05-07,,,,,,,,63.0,Greed,Greed
2023-05-08,,,,,,,,63.0,Greed,Greed
2023-05-09,,,,,,,,63.0,Greed,Greed
2023-05-10,,,,,,,,63.0,Greed,Greed
2023-05-11,,,,,,,,63.0,Greed,Greed
2023-05-12,,,,,,,,63.0,Greed,Greed
2023-05-13,,,,,,,,63.0,Greed,Greed
2023-05-14,,,,,,,,63.0,Greed,Greed
2023-05-15,,,,,,,,63.0,Greed,Greed
2023-05-16,,,,,,,,63.0,Greed,Greed
2023-05-17,,,,,,,,63.0,Greed,Greed
2023-05-18,,,,,,,,63.0,Greed,Greed
2023-05-19,,,,,,,,63.0,Greed,Greed
2023-05-20,,,,,,,,63.0,Greed,Greed
2023-05-21,,,,,,,,63.0,Greed,Greed
2023-05-22,,,,,,,,63.0,Greed,Greed
2023-05-23,,,,,,,,63.0,Greed,Greed
2023-05-24,,,,,,,,63.0,Greed,Greed
2023-05-25,,,,,,,,63.0,Greed,Greed
2023-05-26,,,,,,,,63.0,Greed,Greed
2023-05-27,,,,,,,,63.0,Greed,Greed
2023-05-28,,,,,,,,63.0,Greed,Greed
2023-05-29,,,,,,,,63.0,Greed,Greed
2023-05-30,,,,,,,,63.0,Greed,Greed
2023-05-31,,,,,,,,63.0,Greed,Greed
2023-06-01,,,,,,,,63.0,Greed,Greed
2023-06-02,,,,,,,,63.0,Greed,Greed
2023-06-03,,,,,,,,63.0,Greed,Greed
2023-06-04,,,,,,,,63.0,Greed,Greed
2023-06-05,,,,,,,,63.0,Greed,Greed
2023-06-06,,,,,,,,63.0,Greed,Greed
2023-06-07,,,,,,,,63.0,Greed,Greed
2023-06-08,,,,,,,,63.0,Greed,Greed
2023-06-09,,,,,,,,63.0,Greed,Greed
2023-06-10,,,,,,,,63.0,Greed,Greed
2023-06-11,,,,,,,,63.0,Greed,Greed
2023-06-12,,,,,,,,63.0,Greed,Greed
2023-06-13,,,,,,,,63.0,Greed,Greed
2023-06-14,,,,,,,,63.0,Greed,Greed
2023-06-15,,,,,,,,63.0,Greed,Greed
2023-06-16,,,,,,,,63.0,Greed,Greed
2023-06-17,,,,,,,,63.0,Greed,Greed
2023-06-18,,,,,,,,63.0,Greed,Greed
2023-06-19,,,,,,,,63.0,Greed,Greed
2023-06-20,,,,,,,,63.0,Greed,Greed
2023-06-21,,,,,,,,63.0,Greed,Greed
2023-06-22,,,,,,,,63.0,Greed,Greed
2023-06-23,,,,,,,,63.0,Greed,Greed
2023-06-24,,,,,,,,63.0,Greed,Greed
2023-06-25,,,,,,,,63.0,Greed,Greed
2023-06-26,,,,,,,,63.0,Greed,Greed
2023-06-27,,,,,,,,63.0,Greed,Greed
2023-06-28,,,,,,,,63.0,Greed,Greed
2023-06-29,,,,,,,,63.0,Greed,Greed
2023-06-30,,,,,,,,63.0,Greed,Greed
2023-07-01,,,,,,,,63.0,Greed,Greed
2023-07-02,,,,,,,,63.0,Greed,Greed
2023-07-03,,,,,,,,63.0,Greed,Greed
2023-07-04,,,,,,,,63.0,Greed,Greed
2023-07-05,,,,,,,,63.0,Greed,Greed
2023-07-06,,,,,,,,63.0,Greed,Greed
2023-07-07,,,,,,,,63.0,Greed,Greed
2023-07-08,,,,,,,,63.0,Greed,Greed
2023-07-09,,,,,,,,63.0,Greed,Greed
2023-07-10,,,,,,,,63.0,Greed,Greed
2023-07-11,,,,,,,,63.0,Greed,Greed
2023-07-12,,,,,,,,63.0,Greed,Greed
2023-07-13,,,,,,,,63.0,Greed,Greed
2023-07-14,,,,,,,,63.0,Greed,Greed
2023-07-15,,,,,,,,63.0,Greed,Greed
2023-07-16,,,,,,,,63.0,Greed,Greed
2023-07-17,,,,,,,,63.0,Greed,Greed
2023-07-18,,,,,,,,63.0,Greed,Greed
2023-07-19,,,,,,,,63.0,Greed,Greed
2023-07-20,,,,,,,,63.0,Greed,Greed
2023-07-21,,,,,,,,63.0,Greed,Greed
2023-07-22,,,,,,,,63.0,Greed,Greed
2023-07-23,,,,,,,,63.0,Greed,Greed
2023-07-24,,,,,,,,63.0,Greed,Greed
2023-07-25,,,,,,,,63.0,Greed,Greed
2023-07-26,,,,,,,,63.0,Greed,Greed
2023-07-27,,,,,,,,63.0,Greed,Greed
2023-07-28,,,,,,,,63.0,Greed,Greed
2023-07-29,,,,,,,,63.0,Greed,Greed
2023-07-30,,,,,,,,63.0,Greed,Greed
2023-07-31,,,,,,,,63.0,Greed,Greed
2023-08-01,,,,,,,,63.0,Greed,Greed
2023-08-02,,,,,,,,63.0,Greed,Greed
2023-08-03,,,,,,,,63.0,Greed,Greed
2023-08-04,,,,,,,,63.0,Greed,Greed
2023-08-05,,,,,,,,63.0,Greed,Greed
2023-08-06,,,,,,,,63.0,Greed,Greed
2023-08-07,,,,,,,,63.0,Greed,Greed
2023-08-08,,,,,,,,63.0,Greed,Greed
2023-08-09,,,,,,,,63.0,Greed,Greed
2023-08-10,,,,,,,,63.0,Greed,Greed
2023-08-11,,,,,,,,63.0,Greed,Greed
2023-08-12,,,,,,,,63.0,Greed,Greed
2023-08-13,,,,,,,,63.0,Greed,Greed
2023-08-14,,,,,,,,63.0,Greed,Greed
2023-08-15,,,,,,,,63.0,Greed,Greed
2023-08-16,,,,,,,,63.0,Greed,Greed
2023-08-17,,,,,,,,63.0,Greed,Greed
2023-08-18,,,,,,,,63.0,Greed,Greed
2023-08-19,,,,,,,,63.0,Greed,Greed
2023-08-20,,,,,,,,63.0,Greed,Greed
2023-08-21,,,,,,,,63.0,Greed,Greed
2023-08-22,,,,,,,,63.0,Greed,Greed
2023-08-23,,,,,,,,63.0,Greed,Greed
2023-08-24,,,,,,,,63.0,Greed,Greed
2023-08-25,,,,,,,,63.0,Greed,Greed
2023-08-26,,,,,,,,63.0,Greed,Greed
2023-08-27,,,,,,,,63.0,Greed,Greed
2023-08-28,,,,,,,,63.0,Greed,Greed
2023-08-29,,,,,,,,63.0,Greed,Greed
2023-08-30,,,,,,,,63.0,Greed,Greed
2023-08-31,,,,,,,,63.0,Greed,Greed
2023-09-01,,,,,,,,63.0,Greed,Greed
2023-09-02,,,,,,,,63.0,Greed,Greed
2023-09-03,,,,,,,,63.0,Greed,Greed
2023-09-04,,,,,,,,63.0,Greed,Greed
2023-09-05,,,,,,,,63.0,Greed,Greed
2023-09-06,,,,,,,,63.0,Greed,Greed
2023-09-07,,,,,,,,63.0,Greed,Greed
2023-09-08,,,,,,,,63.0,Greed,Greed
2023-09-09,,,,,,,,63.0,Greed,Greed
2023-09-10,,,,,,,,63.0,Greed,Greed
2023-09-11,,,,,,,,63.0,Greed,Greed
2023-09-12,,,,,,,,63.0,Greed,Greed
2023-09-13,,,,,,,,63.0,Greed,Greed
2023-09-14,,,,,,,,63.0,Greed,Greed
2023-09-15,,,,,,,,63.0,Greed,Greed
2023-09-16,,,,,,,,63.0,Greed,Greed
2023-09-17,,,,,,,,63.0,Greed,Greed
2023-09-18,,,,,,,,63.0,Greed,Greed
2023-09-19,,,,,,,,63.0,Greed,Greed
2023-09-20,,,,,,,,63.0,Greed,Greed
2023-09-21,,,,,,,,63.0,Greed,Greed
2023-09-22,,,,,,,,63.0,Greed,Greed
2023-09-23,,,,,,,,63.0,Greed,Greed
2023-09-24,,,,,,,,63.0,Greed,Greed
2023-09-25,,,,,,,,63.0,Greed,Greed
2023-09-26,,,,,,,,63.0,Greed,Greed
2023-09-27,,,,,,,,63.0,Greed,Greed
2023-09-28,,,,,,,,63.0,Greed,Greed
2023-09-29,,,,,,,,63.0,Greed,Greed
2023-09-30,,,,,,,,63.0,Greed,Greed
2023-10-01,,,,,,,,63.0,Greed,Greed
2023-10-02,,,,,,,,63.0,Greed,Greed
2023-10-03,,,,,,,,63.0,Greed,Greed
2023-10-04,,,,,,,,63.0,Greed,Greed
2023-10-05,,,,,,,,63.0,Greed,Greed
2023-10-06,,,,,,,,63.0,Greed,Greed
2023-10-07,,,,,,,,63.0,Greed,Greed
2023-10-08,,,,,,,,63.0,Greed,Greed
2023-10-09,,,,,,,,63.0,Greed,Greed
2023-10-10,,,,,,,,63.0,Greed,Greed
2023-10-11,,,,,,,,63.0,Greed,Greed
2023-10-12,,,,,,,,63.0,Greed,Greed
2023-10-13,,,,,,,,63.0,Greed,Greed
2023-10-14,,,,,,,,63.0,Greed,Greed
2023-10-15,,,,,,,,63.0,Greed,Greed
2023-10-16,,,,,,,,63.0,Greed,Greed
2023-10-17,,,,,,,,63.0,Greed,Greed
2023-10-18,,,,,,,,63.0,Greed,Greed
2023-10-19,,,,,,,,63.0,Greed,Greed
2023-10-20,,,,,,,,63.0,Greed,Greed
2023-10-21,,,,,,,,63.0,Greed,Greed
2023-10-22,,,,,,,,63.0,Greed,Greed
2023-10-23,,,,,,,,63.0,Greed,Greed
2023-10-24,,,,,,,,63.0,Greed,Greed
2023-10-25,,,,,,,,63.0,Greed,Greed
2023-10-26,,,,,,,,63.0,Greed,Greed
2023-10-27,,,,,,,,63.0,Greed,Greed
2023-10-28,,,,,,,,63.0,Greed,Greed
2023-10-29,,,,,,,,63.0,Greed,Greed
2023-10-30,,,,,,,,63.0,Greed,Greed
2023-10-31,,,,,,,,63.0,Greed,Greed
2023-11-01,,,,,,,,63.0,Greed,Greed
2023-11-02,,,,,,,,63.0,Greed,Greed
2023-11-03,,,,,,,,63.0,Greed,Greed
2023-11-04,,,,,,,,63.0,Greed,Greed
2023-11-05,,,,,,,,63.0,Greed,Greed
2023-11-06,,,,,,,,63.0,Greed,Greed
2023-11-07,,,,,,,,63.0,Greed,Greed
2023-11-08,,,,,,,,63.0,Greed,Greed
2023-11-09,,,,,,,,63.0,Greed,Greed
2023-11-10,,,,,,,,63.0,Greed,Greed
2023-11-11,,,,,,,,63.0,Greed,Greed
2023-11-12,,,,,,,,63.0,Greed,Greed
2023-11-13,,,,,,,,63.0,Greed,Greed
2023-11-14,,,,,,,,63.0,Greed,Greed
2023-11-15,,,,,,,,63.0,Greed,Greed
2023-11-16,,,,,,,,63.0,Greed,Greed
2023-11-17,,,,,,,,63.0,Greed,Greed
2023-11-18,,,,,,,,63.0,Greed,Greed
2023-11-19,,,,,,,,63.0,Greed,Greed
2023-11-20,,,,,,,,63.0,Greed,Greed
2023-11-21,,,,,,,,63.0,Greed,Greed
2023-11-22,,,,,,,,63.0,Greed,Greed
2023-11-23,,,,,,,,63.0,Greed,Greed
2023-11-24,,,,,,,,63.0,Greed,Greed
2023-11-25,,,,,,,,63.0,Greed,Greed
2023-11-26,,,,,,,,63.0,Greed,Greed
2023-11-27,,,,,,,,63.0,Greed,Greed
2023-11-28,,,,,,,,63.0,Greed,Greed
2023-11-29,,,,,,,,63.0,Greed,Greed
2023-11-30,,,,,,,,63.0,Greed,Greed
2023-12-01,,,,,,,,63.0,Greed,Greed
2023-12-02,,,,,,,,63.0,Greed,Greed
2023-12-03,,,,,,,,63.0,Greed,Greed
2023-12-04,,,,,,,,63.0,Greed,Greed
2023-12-05,9.0,50005.83,11038.3,0.483987,1.0,0.0,0.0,75.0,Extreme Greed,Greed
2023-12-06,,,,,,,,75.0,Extreme Greed,Greed
2023-12-07,,,,,,,,75.0,Extreme Greed,Greed
2023-12-08,,,,,,,,75.0,Extreme Greed,Greed
2023-12-09,,,,,,,,75.0,Extreme Greed,Greed
2023-12-10,,,,,,,,75.0,Extreme Greed,Greed
2023-12-11,,,,,,,,75.0,Extreme Greed,Greed
2023-12-12,,,,,,,,75.0,Extreme Greed,Greed
2023-12-13,,,,,,,,75.0,Extreme Greed,Greed
2023-12-14,11.0,113203.35,8031.868818181818,2.169319,1.0,-18.675885181818188,0.36363636363636365,72.0,Greed,Greed
2023-12-15,2.0,10609.95,2.982,1.3262445,1.0,-12.316016999999999,0.0,70.0,Greed,Greed
2023-12-16,3.0,15348.77,0.3847066666666667,1.170034,1.0,0.0,0.0,67.0,Greed,Greed
2023-12-17,14.0,116278.02,802.5418592857143,1.3420045,1.0,21.78448464285714,0.5,73.0,Greed,Greed
2023-12-18,2.0,31164.179999999997,2178.1000000000004,3.8955225,1.0,0.0,0.0,65.0,Greed,Greed
2023-12-19,15.0,91602.41,447.8019113333333,1.182167,1.0,66.70257413333334,0.6666666666666666,73.0,Greed,Greed
2023-12-20,18.0,141636.79,6.722871666666666,1.9217335000000002,1.0,9.040682333333333,0.4444444444444444,74.0,Greed,Greed
2023-12-21,49.0,125233.97,91.84020408163265,0.545611,1.0,10.963498000000001,0.5306122448979592,70.0,Greed,Greed
2023-12-22,10.0,88874.28,30692.8325,1.5285685,1.0,14.1832675,0.2,74.0,Greed,Greed
2023-12-23,13.0,78438.25,3.0702846153846153,1.520957,1.0,11.302823384615383,0.6153846153846154,70.0,Greed,Greed
2023-12-24,39.0,402954.94,13680.54118025641,1.143631,1.0,25.862050153846155,0.38461538461538464,71.0,Greed,Greed
2023-12-25,3.0,59948.51,2275.4,7.269724,1.0,-81.69378266666666,0.0,73.0,Greed,Greed
2023-12-26,,,,,,,,73.0,Greed,Greed
2023-12-27,28.0,171411.06,0.37319214285714286,1.3560365,1.0,-25.174615249999995,0.14285714285714285,73.0,Greed,Greed
2023-12-28,23.0,100117.25,0.4032943478260869,0.976971,1.0,-42.20569026086957,0.0,73.0,Greed,Greed
2023-12-29,50.0,569559.72,3836.17816,2.1568005,1.0,10.178442859999999,0.3,65.0,Greed,Greed
2023-12-30,52.0,702550.21,13421.615271153847,1.1537525,1.0,6.826897076923077,0.4423076923076923,68.0,Greed,Greed
2023-12-31,,,,,,,,68.0,Greed,Greed
2024-01-01,18.0,264239.52999999997,10373.330666666667,2.3040225000000003,1.0,-7.196192222222223,0.05555555555555555,65.0,Greed,Greed
2024-01-02,17.0,121348.74,10199.892598764705,0.609844,1.0,46.11641858823529,0.47058823529411764,71.0,Greed,Greed
2024-01-03,67.0,394499.36,738.8837898507463,0.525694,1.0,12.925604582089552,0.417910447761194,70.0,Greed,Greed
2024-01-04,5.0,99792.54000000001,2212.62,0.833998,1.0,-13.520728,0.0,68.0,Greed,Greed
2024-01-05,66.0,1703942.66,30495.46818181818,1.0644500000000001,1.0,2.486993409090909,0.19696969696969696,72.0,Greed,Greed
2024-01-06,22.0,298521.4,6586.107318181818,1.838382,1.0,6.16280290909091,0.45454545454545453,70.0,Greed,Greed
2024-01-07,97.0,1048850.06,7513.911021649485,0.750985,1.0,-8.615270463917525,0.09278350515463918,71.0,Greed,Greed
2024-01-08,128.0,1522452.43,15078.63093734375,0.462561,1.0,-2.1083940546875,0.25,71.0,Greed,Greed
2024-01-09,70.0,870051.97,14127.109546714286,0.9849755,1.0,-11.804998042857143,0.2571428571428571,76.0,Extreme Greed,Greed
2024-01-10,193.0,2057479.48,12914.76879230052,0.024713,1.0,-7.860576901554404,0.21243523316062177,73.0,Greed,Greed
2024-01-11,21.0,305314.1,12141.70542857143,1.251362,2.0,-7.813785761904761,0.23809523809523808,76.0,Extreme Greed,Greed
2024-01-12,7.0,200082.27,39774.47142857143,10.936369,1.0,-275.0741462857143,0.0,71.0,Greed,Greed
2024-01-13,,,,,,,,71.0,Greed,Greed
2024-01-14,,,,,,,,71.0,Greed,Greed
2024-01-15,14.0,50636.1,16738.085714285717,0.0047815,2.0,10.918112857142857,0.6428571428571429,52.0,Neutral,Neutral
2024-01-16,9.0,116427.33,19105.61008888889,0.53284,2.0,-255.4634953333333,0.3333333333333333,64.0,Greed,Greed
2024-01-17,53.0,800831.03,20112.302,0.324567,1.0,15.344794547169812,0.20754716981132076,60.0,Greed,Greed
2024-01-18,46.0,424631.52999999997,24363.11304347826,0.0069665,1.0,1.4985476086956522,0.06521739130434782,63.0,Greed,Greed
2024-01-19,48.0,428428.97,14421.93125,0.349028,2.0,-8.029567395833334,0.125,51.0,Neutral,Neutral
2024-01-20,106.0,1070090.51,14671.724672933962,0.541785,1.0,-1.3827817924528305,0.14150943396226415,52.0,Neutral,Neutral
2024-01-21,11.0,103129.74,19141.940333454546,0.468747,1.0,24.234649636363642,0.2727272727272727,56.0,Greed,Greed
2024-01-22,85.0,337878.99,6179.383261176471,0.010225,2.0,16.18401128235294,0.27058823529411763,55.0,Greed,Greed
2024-01-23,45.0,414518.93000000005,11768.913676111111,0.084864,1.0,-8.20543844444444,0.24444444444444444,50.0,Neutral,Neutral
2024-01-24,68.0,965084.59,16861.48394732353,0.879444,1.0,-41.29932080882353,0.14705882352941177,48.0,Neutral,Neutral
2024-01-25,6.0,66566.13,87.95416666666667,2.5952085,1.0,-515.6048975,0.0,52.0,Neutral,Neutral
2024-01-26,5.0,11773.21,0.1198688,0.070841,2.0,18.04,0.2,49.0,Neutral,Neutral
2024-01-27,,,,,,,,49.0,Neutral,Neutral
2024-01-28,11.0,18109.03,16.956,-0.00997,1.0,-225.27906545454545,0.0,54.0,Neutral,Neutral
2024-01-29,74.0,414208.18,15636.855511594595,0.4300205,2.0,6.5751694864864865,0.6081081081081081,55.0,Greed,Greed
2024-01-30,49.0,401011.38,27371.991836734695,0.624495,1.0,-3.5439630816326537,0.10204081632653061,61.0,Greed,Greed
2024-01-31,859.0,6305647.13,28200.90456028405,0.24519,1.0,-0.93113017112922,0.2689173457508731,60.0,Greed,Greed
2024-02-01,6.0,2008.18,0.07612616666666668,0.063029,1.0,0.0,0.0,63.0,Greed,Greed
2024-02-02,42.0,474278.43,15601.771341142858,0.5177805,1.0,10.867225547619048,0.30952380952380953,63.0,Greed,Greed
2024-02-03,56.0,603820.0,29939.640223214286,0.806587,1.0,3.9876640535714283,0.10714285714285714,60.0,Greed,Greed
2024-02-04,35.0,203187.53,12108.636457142857,0.578591,1.0,1.360682714285714,0.2571428571428571,60.0,Greed,Greed
2024-02-05,72.0,770198.26,15958.2223625,0.8957975,1.0,-0.4646415833333337,0.19444444444444445,60.0,Greed,Greed
2024-02-06,1088.0,8047153.41,22118.307961134193,0.0065955,1.0,-0.19817638511029412,0.1645220588235294,64.0,Greed,Greed
2024-02-07,15.0,6758.73,3.98582,-0.006211,1.0,16.082808,0.13333333333333333,62.0,Greed,Greed
2024-02-08,10.0,26051.12,10.0228845,-0.0092005,1.0,77.07560240000001,0.4,66.0,Greed,Greed
2024-02-09,,,,,,,,66.0,Greed,Greed
2024-02-10,,,,,,,,66.0,Greed,Greed
2024-02-11,34.0,212311.82,17890.449081970586,0.02457,1.0,28.924799294117648,0.20588235294117646,71.0,Greed,Greed
2024-02-12,16.0,227247.69999999998,28717.7418125,0.193631,1.0,57.11761168749999,0.375,70.0,Greed,Greed
2024-02-13,14.0,1999.99,0.06054285714285714,-0.0021015,1.0,39.960277857142856,1.0,79.0,Extreme Greed,Greed
2024-02-14,111.0,320839.88,5443.060992846847,0.012913,2.0,34.509908405405405,0.7477477477477478,74.0,Greed,Greed
2024-02-15,63.0,185188.04,2750.1658545873015,-0.000265,2.0,29.219010746031746,0.9047619047619048,72.0,Greed,Greed
2024-02-16,182.0,564896.51,696.7813038571429,-0.012209,2.0,30.174554032967034,0.8021978021978022,72.0,Greed,Greed
2024-02-17,94.0,406118.07,3403.646719574468,0.030416,2.0,20.52810425531915,0.648936170212766,76.0,Extreme Greed,Greed
2024-02-18,97.0,157048.17,3.395497731958763,-0.016365,1.0,4.923967319587628,0.6288659793814433,72.0,Greed,Greed
2024-02-19,101.0,286377.2,2068.0068288118814,-0.005532,2.0,42.750183792079206,0.7623762376237624,75.0,Extreme Greed,Greed
2024-02-20,39.0,119419.72,2681.8062438974357,-0.001968,2.0,83.68279035897436,0.7948717948717948,72.0,Greed,Greed
2024-02-21,22.0,108047.51999999999,27.589205454545457,-0.0080945,2.0,84.49084409090909,0.6818181818181818,78.0,Extreme Greed,Greed
2024-02-22,88.0,373033.87,1175.5737064772727,0.0011320000000000002,2.0,44.25119397727272,0.45454545454545453,74.0,Greed,Greed
2024-02-23,143.0,111106.14,725.5068307692308,-0.006229,1.0,9.91995055944056,0.958041958041958,76.0,Extreme Greed,Greed
2024-02-24,,,,,,,,76.0,Extreme Greed,Greed
2024-02-25,5.0,4480.13,0.5663259999999999,-0.016296,1.0,-6.1541,0.0,74.0,Greed,Greed
2024-02-26,39.0,192187.14,5.614911538461539,-0.010103,2.0,113.25249487179488,0.8717948717948718,72.0,Greed,Greed
2024-02-27,63.0,209362.3,36.161129396825395,-0.01332,2.0,14.103360841269842,0.4126984126984127,79.0,Extreme Greed,Greed
2024-02-28,45.0,171107.13,1.2982939111111111,-0.020072,1.0,55.63882744444444,0.8666666666666667,82.0,Extreme Greed,Greed
2024-02-29,116.0,395666.73,11.306912146551724,-0.020497,2.0,84.60342234482759,0.8620689655172413,80.0,Extreme Greed,Greed
2024-03-01,137.0,472974.7,2.725657408759124,-0.01994,1.0,60.176944591240876,0.9343065693430657,80.0,Extreme Greed,Greed
2024-03-02,31.0,63197.56,0.8005309032258064,-0.00055,2.0,7.448406451612905,0.6774193548387096,80.0,Extreme Greed,Greed
2024-03-03,79.0,390745.68,3.0333498607594938,-0.012428,1.0,105.83653474683545,0.6835443037974683,83.0,Extreme Greed,Greed
2024-03-04,300.0,1577996.87,419.88134141,-0.012625500000000001,2.0,92.66591914,0.8866666666666667,82.0,Extreme Greed,Greed
2024-03-05,180.0,841810.32,0.3816785944444444,-0.014318,1.0,109.95014467222222,0.9055555555555556,90.0,Extreme Greed,Greed
2024-03-06,82.0,327218.02,1.7171503902439025,-0.036140500000000006,1.0,83.10762364634145,0.8780487804878049,75.0,Extreme Greed,Greed
2024-03-07,,,,,,,,75.0,Extreme Greed,Greed
2024-03-08,67.0,183583.18,2.9131835970149256,-0.009651,1.0,63.7594960597015,0.8805970149253731,81.0,Extreme Greed,Greed
2024-03-09,117.0,658178.75,15.9975568974359,-0.011732,1.0,85.03847541880343,0.8290598290598291,84.0,Extreme Greed,Greed
2024-03-10,42.0,219973.85,34.630716666666665,-0.0073,1.0,59.117314285714286,0.6904761904761905,79.0,Extreme Greed,Greed
2024-03-11,42.0,176519.44999999998,2.647672619047619,0.0230845,1.0,85.43284511904761,0.9285714285714286,82.0,Extreme Greed,Greed
2024-03-12,8.0,103040.85,9.235375,0.37101500000000004,1.0,379.89575,0.875,81.0,Extreme Greed,Greed
2024-03-13,7.0,6000.799999999999,3979.957142857143,0.097808,1.0,0.0,0.0,81.0,Extreme Greed,Greed
2024-03-14,18.0,205933.18,252.0171572222222,0.2644,2.0,192.5481017777778,0.8888888888888888,88.0,Extreme Greed,Greed
2024-03-15,62.0,351894.41,502.81406972580646,0.24057,3.0,100.58892985483871,0.6612903225806451,83.0,Extreme Greed,Greed
2024-03-16,8.0,37223.66,2750.4022475,1.2250014999999999,2.0,28.57248,0.125,81.0,Extreme Greed,Greed
2024-03-17,23.0,99506.95,2191.606,0.701347,3.0,21.882345869565217,0.43478260869565216,79.0,Extreme Greed,Greed
2024-03-18,19.0,90458.08,2238.5484684210523,0.745286,3.0,76.68198421052631,0.3157894736842105,77.0,Extreme Greed,Greed
2024-03-19,24.0,219884.84,575.3537,0.5575749999999999,3.0,27.86658220833333,0.20833333333333334,79.0,Extreme Greed,Greed
2024-03-20,69.0,215705.85,193.64368536231885,0.149358,2.0,93.08890723188406,0.8695652173913043,74.0,Greed,Greed
2024-03-21,28.0,117895.57,124.34982285714285,0.075326,3.0,83.41100267857142,0.8214285714285714,78.0,Extreme Greed,Greed
2024-03-22,,,,,,,,78.0,Extreme Greed,Greed
2024-03-23,,,,,,,,78.0,Extreme Greed,Greed
2024-03-24,19.0,92592.20999999999,8.960757894736842,0.248062,1.0,68.26413036842105,0.7894736842105263,74.0,Greed,Greed
2024-03-25,7.0,57116.32,3582.2999999999997,2.175878,1.0,186.13091828571427,0.8571428571428571,75.0,Extreme Greed,Greed
2024-03-26,118.0,198565.19,219.49172627118645,0.048079,2.0,27.253445703389833,0.9322033898305084,81.0,Extreme Greed,Greed
2024-03-27,38.0,99864.79,13627.738306315789,0.2853775,2.0,3.9581878947368416,0.3157894736842105,83.0,Extreme Greed,Greed
2024-03-28,13.0,35323.72,803.983042,0.049436,2.0,17.527000615384615,0.6923076923076923,80.0,Extreme Greed,Greed
2024-03-29,15.0,86914.37,3541.54,1.055866,1.0,58.873160266666666,0.4,79.0,Extreme Greed,Greed
2024-03-30,45.0,101103.92,0.19727666666666666,0.059816,1.0,24.45722533333333,0.9777777777777777,75.0,Extreme Greed,Greed
2024-03-31,13.0,39912.96,3627.730769230769,0.190459,1.0,70.21431884615384,0.7692307692307693,75.0,Extreme Greed,Greed
2024-04-01,77.0,339470.47,1332.2278167402596,0.347788,2.0,32.57095332467532,0.5454545454545454,79.0,Extreme Greed,Greed
2024-04-02,41.0,239664.50999999998,3060.7089024390243,0.524597,2.0,21.555141756097562,0.2926829268292683,79.0,Extreme Greed,Greed
2024-04-03,4.0,16887.57,8.3283,0.33061799999999997,2.0,31.6971,0.25,71.0,Greed,Greed
2024-04-04,32.0,95987.73,3401.434375,0.336515,1.0,0.0,0.0,70.0,Greed,Greed
2024-04-05,100.0,503791.8,330.28005890000003,0.077946,3.0,107.06484306,0.9,79.0,Extreme Greed,Greed
2024-04-06,16.0,68223.67,3328.08125,0.7900565,1.0,14.770945874999999,0.25,75.0,Extreme Greed,Greed
2024-04-07,23.0,49988.14,3398.0043478260873,0.238322,1.0,0.0,0.0,78.0,Extreme Greed,Greed
2024-04-08,30.0,211940.64,3295.5374166666666,0.9165875,2.0,40.614223333333335,0.03333333333333333,76.0,Extreme Greed,Greed
2024-04-09,3.0,57063.840000000004,3501.3000000000006,3.56448,1.0,0.0,0.0,80.0,Extreme Greed,Greed
